"","HHID","ENID","region_state","Latitude","Longitude","plantingDate","variety","intHarvestDate_CON","intHarvestDate_SSR","yielddata","pmnth","pday","pyear","rtdmy","f0m","harvest","yield","diff","days","hvstype","daterc","Rmnth","Rday","Ryear","Rmth","Plmth","numdiff","numdiff2","region3"
"2","ACHHNG001402","ACEANG000196","OG",7.126,3.625,"10-Mar-18","other_local","3-Mar-19","25-Apr-19","TRUE",3,10,2018,2018-03-10,"Mar","yield_SSR",NA,"diffeffH",411,"HarvestDate_SSR","25-Apr-19",4,25,2019,"Apr","Mar",14,14,"OG"
"410","ACHHNG001402","ACEANG000196","OG",7.126,3.625,"10-Mar-18","other_local","3-Mar-19","25-Apr-19","TRUE",3,10,2018,2018-03-10,"Mar","yield_SSR",NA,"diffeffC",358,"HarvestDate_SSR","25-Apr-19",4,25,2019,"Apr","Mar",12,12,"OG"
"818","ACHHNG001402","ACEANG000196","OG",7.126,3.625,"10-Mar-18","other_local","3-Mar-19","25-Apr-19","TRUE",3,10,2018,2018-03-10,"Mar","yield_SSR",NA,"diffeffH",411,"HarvestDate_CON","3-Mar-19",3,3,2019,"Mar","Mar",14,14,"OG"
"1226","ACHHNG001402","ACEANG000196","OG",7.126,3.625,"10-Mar-18","other_local","3-Mar-19","25-Apr-19","TRUE",3,10,2018,2018-03-10,"Mar","yield_SSR",NA,"diffeffC",358,"HarvestDate_CON","3-Mar-19",3,3,2019,"Mar","Mar",12,12,"OG"
"415","ACHHNG001409","ACEANG000196","OG",7.135,3.634,"10-Mar-18","other_local","10-Mar-19","30-Apr-18","TRUE",3,10,2018,2018-03-10,"Mar","yield_SSR",138.3,"diffeffC",365,"HarvestDate_SSR","30-Apr-18",4,30,2018,"Apr","Mar",12,12,"OG"
"1231","ACHHNG001409","ACEANG000196","OG",7.135,3.634,"10-Mar-18","other_local","10-Mar-19","30-Apr-18","TRUE",3,10,2018,2018-03-10,"Mar","yield_SSR",138.3,"diffeffC",365,"HarvestDate_CON","10-Mar-19",3,10,2019,"Mar","Mar",12,12,"OG"
"8","ACHHNG001410","ACEANG000196","OG",7.154,3.694,"18-Jun-18","TME419","18-Jun-19","18-Aug-19","TRUE",6,18,2018,2018-06-18,"Jun","yield_SSR",132.4,"diffeffH",426,"HarvestDate_SSR","18-Aug-19",8,18,2019,"Aug","Jun",14,14,"OG"
"416","ACHHNG001410","ACEANG000196","OG",7.154,3.694,"18-Jun-18","TME419","18-Jun-19","18-Aug-19","TRUE",6,18,2018,2018-06-18,"Jun","yield_SSR",132.4,"diffeffC",365,"HarvestDate_SSR","18-Aug-19",8,18,2019,"Aug","Jun",12,12,"OG"
"824","ACHHNG001410","ACEANG000196","OG",7.154,3.694,"18-Jun-18","TME419","18-Jun-19","18-Aug-19","TRUE",6,18,2018,2018-06-18,"Jun","yield_SSR",132.4,"diffeffH",426,"HarvestDate_CON","18-Jun-19",6,18,2019,"Jun","Jun",14,14,"OG"
"1232","ACHHNG001410","ACEANG000196","OG",7.154,3.694,"18-Jun-18","TME419","18-Jun-19","18-Aug-19","TRUE",6,18,2018,2018-06-18,"Jun","yield_SSR",132.4,"diffeffC",365,"HarvestDate_CON","18-Jun-19",6,18,2019,"Jun","Jun",12,12,"OG"
